Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Babe,Styx,3:38,4,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,96,1980
The Rose,Bette Midler,4:04,4,0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,92,1980
Cars,Gary Numan,4:08,4,0.338,0.562,9,-7.181,1,0.029,0.039,0,0.107,0.259,149.907,82,1980
Magic,Olivia Newton-John,2:17,4,0.911,0.689,1,-6.176,1,0.265,0.00119,0,0.0704,0.546,140.034,80,1980
We Don’t Talk Anymore,Cliff Richard,3:37,4,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,80,1980
Desire,Andy Gibb,2:59,4,0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,79,1980
Real Love,Doobie Brothers,3:09,4,0.417,0.686,7,-6.484,1,0.0373,0.0955,0.0287,0.0989,0.625,204.113,79,1980
Rock With You,Michael Jackson,3:40,4,0.808,0.535,1,-12.521,1,0.0353,0.179,0.0000991,0.158,0.848,114.031,79,1980
Sara,Fleetwood Mac,3:34,4,0.576,0.683,7,-5.103,1,0.118,0.41,0,0.0819,0.433,151.566,77,1980
Upside Down,Diana Ross,3:29,4,0.792,0.647,4,-8.314,1,0.045,0.255,0.000223,0.132,0.694,102.477,77,1980
Escape (THE Piña Colada Song),Rupert Holmes,4:36,4,0.835,0.509,0,-13.668,1,0.0548,0.469,0.00000411,0.0436,0.949,138.711,76,1980
Him,Rupert Holmes,4:28,4,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,76,1980
Lady,Kenny Rogers,3:03,4,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,76,1980
It’s Still Rock And Roll To Me,Billy Joel,2:56,4,0.752,0.684,0,-7.599,1,0.15,0.0994,0,0.0897,0.539,141.075,75,1980
On The Radio,Donna Summer,3:50,4,0.758,0.686,11,-6.346,1,0.0792,0.0848,0.00133,0.142,0.444,130.008,75,1980
Still,Commodores,4:06,4,0.946,0.646,5,-6.604,1,0.21,0.219,0,0.0643,0.961,127.978,75,1980
Another One Bites The Dust,Queen,3:34,4,0.932,0.528,5,-6.472,0,0.161,0.115,0.329,0.163,0.757,109.975,74,1980
Longer,Dan Fogelberg,3:18,4,0.795,0.568,5,-7.817,0,0.142,0.0541,0,0.108,0.478,136.173,74,1980
Please Don’t Go,KC and the Sunshine Band,3:01,4,0.683,0.554,6,-7.487,0,0.05,0.379,0.00011,0.0845,0.452,85.455,74,1980
All Out Of Love,Air Supply,4:03,4,0.513,0.262,0,-16.875,1,0.0276,0.313,0.00000551,0.456,0.357,108.383,73,1980
Call Me,Blondie,3:13,4,0.782,0.58,7,-6.548,1,0.0407,0.0114,0.00000228,0.108,0.66,120.021,73,1980
Crazy Little Thing Called Love,Queen,2:43,4,0.599,0.762,0,-6.887,1,0.0423,0.714,0.00000443,0.35,0.715,76.961,73,1980
Daydream Believer,Anne Murray,2:59,4,0.51,0.488,7,-10.304,1,0.0304,0.256,0,0.11,0.649,125.683,70,1980
Cruisin’,Smokey Robinson,3:58,3,0.365,0.464,0,-8.412,0,0.385,0.182,0.00000378,0.228,0.672,84.16,69,1980
Dreaming,Cliff Richard,5:14,4,0.553,0.458,8,-10.796,1,0.0381,0.325,0.0000971,0.0583,0.247,165.807,67,1980
More Love,Kim Carnes,2:21,4,0.482,0.0191,4,-28.939,1,0.0348,0.975,0.0000561,0.114,0.333,99.151,67,1980
This Is It,Kenny Loggins,3:58,4,0.799,0.623,0,-9.374,1,0.0812,0.0141,0,0.43,0.773,103.642,67,1980
Woman In Love,Barbra Streisand,3:51,4,0.469,0.278,3,-16.311,0,0.028,0.248,0.000126,0.133,0.331,169.735,67,1980
Fire Lake,Bob Seger and the Silver Bullet Band,2:55,4,0.541,0.618,1,-9.652,0,0.179,0.277,0.0000402,0.413,0.68,145.464,66,1980
Sailing,Christopher Cross,4:18,4,0.48,0.191,9,-20.594,1,0.0341,0.643,0.000144,0.263,0.187,149.125,66,1980
Against The Wind,Bob Seger and the Silver Bullet Band,5:33,4,0.674,0.771,7,-5.612,1,0.0246,0.28,0.0318,0.133,0.718,109.618,65,1980
Biggest Part Of Me,Ambrosia,5:24,4,0.498,0.723,10,-8.053,1,0.05,0.238,0,0.353,0.882,153.227,65,1980
Do That To Me One More Time,Captain & Tennille,4:16,4,0.728,0.524,7,-8.227,1,0.0255,0.563,0.000131,0.0913,0.51,90.262,65,1980
I Can’t Tell You Why,Eagles,4:55,4,0.707,0.346,11,-12.397,0,0.0251,0.69,0.145,0.1,0.49,85.094,65,1980
Ride Like The Wind,Christopher Cross,4:35,4,0.669,0.702,0,-13.647,0,0.0439,0.335,0.000545,0.0962,0.823,124.339,65,1980
Coward Of The County,Kenny Rogers,4:18,4,0.652,0.433,7,-12.843,1,0.0588,0.134,0.00000737,0.146,0.675,91.471,64,1980
How Do I Make You,Linda Ronstadt,3:34,4,0.805,0.498,7,-7.927,0,0.0737,0.0203,0.0000237,0.085,0.636,121.006,64,1980
Jane,Jefferson Starship,4:47,4,0.402,0.597,2,-9.258,1,0.0327,0.0385,0.00000209,0.109,0.496,81.806,64,1980
Off The Wall,Michael Jackson,3:23,4,0.834,0.374,1,-10.173,1,0.333,0.123,0,0.134,0.545,140.001,64,1980
Shining Star,The Manhattans,2:50,4,0.676,0.692,9,-13.093,1,0.052,0.668,0.00915,0.13,0.799,102.516,64,1980
The Wanderer,Donna Summer,2:48,4,0.59,0.546,7,-10.213,1,0.0436,0.301,0,0.0936,0.855,114.04,64,1980
Don’t Do Me Like That,Tom Petty and the Heartbreakers,2:41,4,0.758,0.806,0,-4.243,1,0.0279,0.213,0.0000152,0.0983,0.962,116.543,63,1980
Give Me The Night,George Benson,5:01,4,0.835,0.765,1,-7.831,1,0.0681,0.475,0.0692,0.12,0.855,110.282,63,1980
Lost In Love,Air Supply,4:06,3,0.45,0.465,0,-7.034,1,0.0413,0.3,0,0.132,0.342,103.522,63,1980
You May Be Right,Billy Joel,4:13,4,0.567,0.945,9,-7.243,1,0.0458,0.175,0.0000026,0.35,0.961,150.792,62,1980
Fame,Irene Cara,4:21,4,0.786,0.555,10,-10.276,1,0.0471,0.454,0.0173,0.0826,0.673,95.1,61,1980
Hurt So Bad,Linda Ronstadt,1:12,4,0.467,0.146,2,-16.595,1,0.122,0.87,0.00159,0.107,0.0384,81.444,61,1980
Coming Up,Paul McCartney,4:31,4,0.734,0.631,5,-6.887,1,0.098,0.258,0.00000243,0.0752,0.962,141.478,60,1980
Funkytown,Lipps Inc,3:54,4,0.915,0.591,0,-8.865,1,0.0597,0.000468,0.833,0.0938,0.315,122.664,60,1980
Ladies’ Night,Kool & the Gang,3:28,4,0.651,0.777,11,-7.853,1,0.167,0.186,0,0.0474,0.92,111.707,60,1980
Master Blaster (JAMMIN’),Stevie Wonder,5:08,4,0.874,0.419,5,-14.905,0,0.0563,0.0467,0.00051,0.194,0.971,131.159,60,1980
Stomp!,The Brothers Johnson,4:07,4,0.859,0.782,10,-8.344,1,0.0369,0.154,0.0297,0.0693,0.931,119.518,60,1980
Let My Love Open The Door,Pete Townshend,2:44,4,0.651,0.653,0,-9.731,1,0.0545,0.365,0.000117,0.0742,0.729,164.912,59,1980
One Fine Day,Carole King,2:08,4,0.251,0.868,1,-2.685,1,0.128,0.488,0.00000734,0.814,0.599,177.13,58,1980
Steal Away,Robbie Dupree,3:33,4,0.72,0.569,2,-11.466,1,0.0418,0.142,0.000188,0.0629,0.713,122.403,58,1980
The Long Run,Eagles,3:41,4,0.803,0.521,0,-7.775,1,0.0276,0.139,0.00899,0.081,0.969,99.46,58,1980
Cool Change,Little River Band,5:16,4,0.375,0.383,9,-10.941,1,0.0277,0.268,0.00000128,0.0877,0.143,130.26,57,1980
Into The Night,Benny Mardones,4:31,4,0.435,0.69,0,-6.635,0,0.0388,0.463,0,0.104,0.51,163.486,57,1980
She’s Out Of My Life,Michael Jackson,3:38,4,0.293,0.0348,4,-23.92,1,0.0414,0.962,0.000212,0.105,0.101,130.959,57,1980
Drivin’ My Life Away,Eddie Rabbitt,3:16,4,0.571,0.57,9,-14.091,1,0.047,0.113,0.00244,0.066,0.814,168.943,56,1980
Head Games,Foreigner,3:37,4,0.678,0.693,1,-6.133,1,0.0249,0.0139,0,0.0596,0.623,107.415,56,1980
I Wanna Be Your Lover,Prince,5:47,4,0.812,0.506,1,-8.825,0,0.0453,0.0399,0.0847,0.0671,0.727,114.832,56,1980
Lookin’ For Love,Johnny Lee,3:40,4,0.74,0.394,2,-15.126,1,0.0331,0.586,0.000215,0.316,0.78,123.689,56,1980
Late In The Evening,Paul Simon,4:02,4,0.72,0.88,5,-8.988,1,0.0406,0.199,0.0246,0.0865,0.961,118.623,55,1980
Little Jeannie,Elton John,5:13,4,0.616,0.444,10,-14.224,1,0.0276,0.461,0.000115,0.0847,0.763,143.805,55,1980
Sexy Eyes,Dr. Hook,3:00,4,0.743,0.642,9,-11.897,0,0.052,0.48,0.00000834,0.212,0.906,103.858,55,1980
Too Hot,Kool & the Gang,4:55,4,0.717,0.253,7,-22.231,0,0.161,0.56,0.0000285,0.0556,0.737,105.289,55,1980
"Yes, I’m Ready",Teri DeSario & KC,3:04,3,0.237,0.377,5,-8.798,1,0.0287,0.902,0,0.131,0.479,173.142,55,1980
Emotional Rescue,The Rolling Stones,5:39,4,0.678,0.621,5,-5.478,1,0.0623,0.111,0.0973,0.0394,0.776,113.389,53,1980
He’s So Shy,the Pointer Sisters,3:38,4,0.871,0.736,0,-7.896,0,0.0675,0.22,0.000725,0.0894,0.967,115.149,52,1980
The Second Time Around,Shalamar,3:43,4,0.801,0.388,1,-12.135,1,0.0505,0.0123,0.0000716,0.0924,0.577,112.367,52,1980
"Working My Way Back To You/Forgive Me, Girl",The Spinners,4:05,4,0.837,0.703,9,-9.385,0,0.0415,0.415,0.0000281,0.153,0.914,121.556,52,1980
Xanadu,Olivia Newton-John / Electric Light Orchestra,3:28,4,0.652,0.654,6,-7.679,1,0.0275,0.186,0,0.162,0.708,127.555,52,1980
Look What You’ve Done To Me,Boz Scaggs,2:48,4,0.735,0.432,10,-12.84,0,0.171,0.586,0.015,0.193,0.342,104.946,51,1980
Jesse,Carly Simon,3:51,4,0.397,0.348,6,-8.322,1,0.0281,0.224,0.00000444,0.126,0.297,140.786,50,1980
All Over The World,Electric Light Orchestra,4:04,4,0.66,0.746,11,-7.696,0,0.04,0.624,0.00000149,0.946,0.797,123.747,48,1980
An American Dream,The Dirt Band,3:37,4,0.776,0.635,2,-6.321,1,0.0282,0.253,0,0.0817,0.825,111.192,48,1980
Tired Of Toein’ The Line,Rocky Burnette,3:41,4,0.677,0.673,7,-13.673,1,0.0334,0.399,0.00000613,0.354,0.855,121.245,47,1980
Better Love Next Time,Dr. Hook,3:02,4,0.768,0.675,9,-10.048,1,0.0526,0.505,0.00000431,0.0513,0.918,102.73,46,1980
